F3 A0 81 93 - 11110011 10100000 10000001 10010011 - 011 100000 000001 010011 - 83 -     S
F3 A0 80 A0 - 11110011 10100000 10000000 10100000 - 011 100000 000000 100000 - 32 -     [ ]
F3 A0 81 A1 - 11110011 10100000 10000001 10100001 - 011 100000 000001 100001 - 97 -     a
F3 A0 81 AE - 11110011 10100000 10000001 10101110 - 011 100000 000001 101110 - 110 -    n
F3 A0 81 A4 - 11110011 10100000 10000001 10100100 - 011 100000 000001 100100 - 100 -    d
F3 A0 80 A0 - 11110011 10100000 10000000 10100000 - 011 100000 000000 100000 - 32 -     [ ]
F3 A0 81 A3 - 11110011 10100000 10000001 10100011 - 011 100000 000001 100011 - 99 -     c
F3 A0 81 AF - 11110011 10100000 10000001 10101111 - 011 100000 000001 101111 - 111 -    o
F3 A0 81 AF - 11110011 10100000 10000001 10101111 - 011 100000 000001 101111 - 111 -    o
F3 A0 81 AB - 11110011 10100000 10000001 10101011 - 011 100000 000001 101011 - 107 -    k
F3 A0 81 A5 - 11110011 10100000 10000001 10100101 - 011 100000 000001 100101 - 101 -    e
F3 A0 81 A4 - 11110011 10100000 10000001 10100100 - 011 100000 000001 100100 - 100 -    d
F3 A0 80 A0 - 11110011 10100000 10000000 10100000 - 011 100000 000000 100000 - 32 -     [ ]
F3 A0 81 B4 - 11110011 10100000 10000001 10110100 - 011 100000 000001 110100 - 116 -    t
F3 A0 81 A8 - 11110011 10100000 10000001 10101000 - 011 100000 000001 101000 - 104 -    h
F3 A0 81 B2 - 11110011 10100000 10000001 10110010 - 011 100000 000001 110010 - 114 -    r
F3 A0 81 AF - 11110011 10100000 10000001 10101111 - 011 100000 000001 101111 - 111 -    o
F3 A0 81 B5 - 11110011 10100000 10000001 10110101 - 011 100000 000001 110101 - 117 -    u
F3 A0 81 A7 - 11110011 10100000 10000001 10100111 - 011 100000 000001 100111 - 103 -    g
F3 A0 81 A8 - 11110011 10100000 10000001 10101000 - 011 100000 000001 101000 - 104 -    h
F3 A0 80 AE - 11110011 10100000 10000000 10101110 - 011 100000 000000 101110 - 46 -     .
E2 80 8A - 11100010 10000000 10001010 - 0010 000000 001010 - 10 - LF
E2 80 80 - 11100010 10000000 10000000 - 0010 000000 000000 - 0 - NULL
E2 80 80 - 11100010 10000000 10000000 - 0010 000000 000000 - 0 - NULL
69 - 01101001 - 105 -   i
73 - 01110011 - 115 -   s
20 - 00100000 - 32 -    [ ]
76 - 01110110 - 118 -   v
65 - 01100101 - 101 -   e
72 - 01110010 - 114 -   r
79 - 01111001 - 121 -   y
20 - 00100000 - 32 -    [ ]
79 - 01111001 - 121 -   y
75 - 01110101 - 117 -   u
6D - 01101101 - 109 -   m
6D - 01101101 - 109 -   m
79 - 01111001 - 121 -   y
